sensorId,timestamp,co2,humidity,light,motion,temperature
sensor09,2025-11-18T10:00:07Z,778.00,42.00,288.00,0.00,19.50
sensor09,2025-11-18T10:05:07Z,802.00,42.00,249.00,0.00,19.50
sensor09,2025-11-18T10:10:07Z,804.00,42.00,229.00,3.00,19.50
sensor09,2025-11-18T10:15:07Z,820.00,42.00,330.00,3.00,19.60
sensor09,2025-11-18T10:20:07Z,763.00,41.00,379.00,3.00,19.60
sensor09,2025-11-18T10:25:07Z,844.00,41.00,355.00,0.00,19.70
sensor09,2025-11-18T10:30:07Z,836.00,41.00,460.00,6.00,19.70
sensor09,2025-11-18T10:35:07Z,824.00,40.00,444.00,2.00,19.70
sensor09,2025-11-18T10:40:07Z,775.00,39.00,448.00,6.00,19.80
sensor09,2025-11-18T10:45:07Z,848.00,40.00,277.00,6.00,19.80
sensor09,2025-11-18T10:50:07Z,926.00,40.00,238.00,2.00,19.90
sensor09,2025-11-18T10:55:07Z,927.00,40.00,355.00,3.00,20.00
sensor09,2025-11-18T11:00:07Z,992.00,40.00,297.00,4.00,20.20
sensor09,2025-11-18T11:05:07Z,1045.00,40.00,350.00,5.00,20.30
sensor09,2025-11-18T11:10:07Z,1086.00,40.00,358.00,5.00,20.40
sensor09,2025-11-18T11:15:07Z,1094.00,40.00,333.00,5.00,20.50
sensor09,2025-11-18T11:20:07Z,1151.00,40.00,376.00,0.00,20.60
sensor09,2025-11-18T11:25:07Z,1195.00,40.00,175.00,4.00,20.80
sensor09,2025-11-18T11:30:07Z,1218.00,40.00,172.00,6.00,20.90
sensor09,2025-11-18T11:35:07Z,1218.00,40.00,170.00,5.00,21.00
sensor09,2025-11-18T11:40:07Z,1211.00,39.00,179.00,5.00,21.10
sensor09,2025-11-18T11:45:07Z,1173.00,39.00,168.00,3.00,21.10
sensor09,2025-11-18T11:50:07Z,1192.00,39.00,176.00,2.00,21.10
sensor09,2025-11-18T12:10:07Z,1270.00,38.00,185.00,5.00,21.40
sensor09,2025-11-18T12:15:07Z,1273.00,38.00,194.00,4.00,21.40
sensor09,2025-11-18T12:20:07Z,1165.00,37.00,167.00,4.00,21.40
sensor09,2025-11-18T12:25:07Z,1184.00,38.00,175.00,4.00,21.30
sensor09,2025-11-18T12:30:07Z,1173.00,37.00,165.00,3.00,21.40
sensor09,2025-11-18T12:35:07Z,1154.00,37.00,169.00,3.00,21.40
sensor09,2025-11-18T12:40:06Z,1152.00,37.00,178.00,2.00,21.40
sensor09,2025-11-18T12:45:06Z,1178.00,37.00,174.00,3.00,21.40
sensor09,2025-11-18T12:50:06Z,1152.00,37.00,181.00,3.00,21.40
sensor09,2025-11-18T12:55:06Z,1161.00,37.00,160.00,1.00,21.50
sensor09,2025-11-18T13:00:06Z,1178.00,37.00,157.00,3.00,21.50
sensor09,2025-11-18T13:05:06Z,1164.00,37.00,162.00,2.00,21.60
sensor09,2025-11-18T13:10:06Z,1188.00,37.00,161.00,5.00,21.60
sensor09,2025-11-18T13:15:06Z,1169.00,37.00,154.00,3.00,21.70
sensor09,2025-11-18T13:20:06Z,1184.00,37.00,158.00,1.00,21.70
sensor09,2025-11-18T13:25:06Z,1197.00,37.00,124.00,2.00,21.70
sensor09,2025-11-18T13:30:06Z,1202.00,37.00,125.00,1.00,21.70
sensor09,2025-11-18T13:35:06Z,1169.00,37.00,123.00,4.00,21.70
sensor09,2025-11-18T13:40:06Z,1217.00,37.00,120.00,1.00,21.70
sensor09,2025-11-18T13:45:06Z,1202.00,37.00,120.00,2.00,21.70
sensor09,2025-11-18T13:50:06Z,1207.00,37.00,120.00,2.00,21.80
sensor09,2025-11-18T13:55:06Z,1222.00,36.00,118.00,0.00,21.70
sensor09,2025-11-18T14:00:06Z,1198.00,36.00,117.00,2.00,21.70
sensor09,2025-11-18T14:05:06Z,1190.00,36.00,118.00,4.00,21.80
sensor09,2025-11-18T14:10:06Z,1094.00,35.00,116.00,8.00,21.80
sensor09,2025-11-18T14:15:06Z,1183.00,36.00,154.00,7.00,21.80
sensor09,2025-11-18T14:20:06Z,1267.00,36.00,152.00,0.00,21.90
sensor09,2025-11-18T14:25:06Z,1289.00,36.00,150.00,1.00,21.90
sensor09,2025-11-18T14:30:06Z,1334.00,36.00,154.00,2.00,22.10
sensor09,2025-11-18T14:35:06Z,1358.00,36.00,152.00,3.00,22.10
sensor09,2025-11-18T14:40:06Z,1404.00,37.00,155.00,2.00,22.20
sensor09,2025-11-18T14:45:06Z,1363.00,36.00,158.00,4.00,22.20
sensor09,2025-11-18T14:50:06Z,1405.00,36.00,170.00,3.00,22.20
sensor09,2025-11-18T15:00:06Z,1445.00,37.00,155.00,4.00,22.30
